Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	5,794 "," 	1,502 ", 	147 , 	326 
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,799 "," 	6,046 "," 	12,930 "," 	7,805 "
44 -  STREETS,44441 - ST HAND SWEEPING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,808 "," 	5,759 "," 	6,491 "," 	10,641 "
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,53 - SUPPLIES,53215 - JANITORIAL SUPPLIES," 	5,810 "," 	10,001 "," 	10,692 "," 	5,529 "
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,812 "," 	1,429 ", 	739 ," 	3,854 "
31 -  POLICE,31120 - CENTRAL,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES," 	5,820 ", 	-   , 	-   , 	-   
65 -  PLANNING,65112 - PL MADISON ARTS PROGRAM,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,822 "," 	6,169 "," 	6,370 "," 	6,510 "
31 -  POLICE,31290 - FINANCE,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,829 ", 	91 , 	-   , 	-   
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT," 	5,838 "," 	20,890 "," 	6,656 "," 	10,803 "
31 -  POLICE,31170 - ACADEMY,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	5,851 "," 	4,754 "," 	9,704 "," 	14,092 "
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,856 "," 	5,437 ", 	789 ," 	1,577 "
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY," 	5,858 "," 	4,334 "," 	6,323 "," 	5,498 "
44 -  STREETS,44660 - ST WEED CONTROL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,860 "," 	5,556 "," 	5,624 "," 	5,409 "
62 -  COMMUNITY DEVELOPMENT,62442 - CRISIS SUPPORT SERVICES,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,863 "," 	6,419 "," 	1,706 "," 	3,804 "
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS," 	5,870 "," 	5,231 "," 	5,050 "," 	5,297 "
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	5,876 "," 	6,273 "," 	6,347 "," 	6,617 "
30 -  FIRE,30110705 - FIRE GEN FIELD OP STATION 5,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS," 	5,888 "," 	4,255 "," 	(39,033)"," 	2,981 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,899 "," 	3,130 "," 	3,051 "," 	2,880 "
65 -  PLANNING,65113 - PL URBAN DESIGN COMMISSION,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,924 "," 	5,857 ", 	266 , 	-   
31 -  POLICE,31157 - CROSSING GUARDS,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,944 "," 	2,214 "," 	1,692 "," 	1,743 "
15 -  FINANCE,15230 - FIN INTERNAL AUDIT,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,962 "," 	6,416 "," 	10,926 "," 	1,609 "
45 -  TRAFFIC ENGINEERING,45665 - TE SERVICES STREET OCCUPY PERM,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,988 "," 	6,956 "," 	19,043 "," 	18,620 "
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	5,994 "," 	28,565 "," 	27,182 "," 	8,006 "
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,005 "," 	3,184 "," 	1,652 "," 	1,364 "
15 -  FINANCE,15300 - FIN RISK MGMT,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	6,024 "," 	5,237 "," 	4,884 "," 	3,724 "
45 -  TRAFFIC ENGINEERING,45504 - TE SIGNALS INSTALL OR REMOVE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,064 ", 	-   ," 	4,473 ", 	-   
31 -  POLICE,31100 - POLICE FIELD,Expense,54 - PURCHASED SERVICES,54655 - PRINTING SERVICES," 	6,069 "," 	4,973 "," 	1,830 "," 	3,951 "
45 -  TRAFFIC ENGINEERING,45301 - TE PAVE MARK ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,073 "," 	7,725 "," 	6,987 "," 	12,610 "
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	6,089 "," 	11,367 "," 	10,063 "," 	4,847 "
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	6,090 "," 	7,660 "," 	7,345 "," 	6,012 "
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	6,093 ", 	-   , 	-   , 	-   
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,098 "," 	7,024 "," 	4,615 "," 	8,046 "
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,103 "," 	14,837 "," 	19,266 "," 	19,881 "
31 -  POLICE,31292 - RECORDS GENERAL,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	6,106 "," 	7,632 "," 	10,002 "," 	8,926 "
45 -  TRAFFIC ENGINEERING,45800 - TE BICYCLE AND PEDESTRIAN SVCS,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	6,132 "," 	10,945 "," 	7,773 "," 	10,688 "
44 -  STREETS,44662 - ST GRAFFITI REMOVALS,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,148 "," 	7,149 "," 	4,934 "," 	4,320 "
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,153 "," 	6,294 "," 	7,622 "," 	26,401 "
50 -  LIBRARY,50221759 - LIB COMM ENGAGE YOUTH SMB,Expense,54 - PURCHASED SERVICES,54815 - GRANTS," 	6,153 ", 	-   , 	-   , 	-   
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,174 "," 	6,461 "," 	7,526 "," 	6,813 "
40 -  ENGINEERING,40360 - ENG FAC MGMT ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,175 "," 	6,921 "," 	8,359 "," 	9,118 "
31 -  POLICE,31146 - SPECIAL INVESTIGATIONS UNITS,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES," 	6,175 ", 	-   , 	-   , 	-   
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE," 	6,176 "," 	7,765 "," 	6,933 "," 	5,831 "
45 -  TRAFFIC ENGINEERING,45204 - TE STLIGHT INSTALL OR REMOVE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,178 "," 	3,822 "," 	4,377 "," 	5,046 "
45 -  TRAFFIC ENGINEERING,45302 - TE PAVE MARK PLAN AND REVIEW,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,179 "," 	2,475 "," 	3,884 "," 	1,894 "
30 -  FIRE,30110721 - FIRE GEN FIELD OP MAINT FAC,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS," 	6,181 "," 	4,725 "," 	5,803 "," 	6,933 "
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,209 "," 	4,646 "," 	4,704 "," 	5,079 "
30 -  FIRE,30114 - FIRE HAZARDOUS INCIDENT TEAM,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,211 "," 	3,183 ", 	793 ," 	5,133 "
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	6,229 "," 	8,820 "," 	9,228 "," 	5,259 "
30 -  FIRE,30110711 - FIRE GEN FIELD OP STATION 11,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS," 	6,246 "," 	4,438 "," 	4,991 "," 	5,019 "
45 -  TRAFFIC ENGINEERING,45304 - TE PAVE MARK INSTALL OR REMOVE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,246 "," 	7,700 "," 	8,287 "," 	7,481 "
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	6,255 "," 	8,318 "," 	9,806 "," 	9,564 "
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	6,256 "," 	8,199 "," 	12,320 "," 	23,089 "
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS," 	6,261 "," 	5,905 "," 	6,502 "," 	7,114 "
51 -  PARKS,51110 - PARK COM REC ADMIN,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	6,261 ", 	306 , 	315 ," 	5,244 "
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,275 ", 	543 , 	19 , 	-   
31 -  POLICE,31105 - SWAT,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES," 	6,276 "," 	2,639 ", 	985 ," 	16,931 "
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	6,280 "," 	3,475 "," 	3,016 "," 	1,055 "
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,54 - PURCHASED SERVICES,54220 - PEST CONTROL," 	6,291 "," 	6,462 "," 	4,469 "," 	5,014 "
11 -  ATTORNEY,11300 - ATTY COUNSEL REPRESENTATION,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS," 	6,301 "," 	6,363 "," 	6,858 "," 	4,990 "
50 -  LIBRARY,50222751 - LIB COMM ENGAGE TEEN CENTRAL,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES," 	6,305 "," 	9,987 "," 	10,748 "," 	8,387 "
64 -  PCED OFFICE OF DIRECTOR,64100 - PCED ADMIN AND SUPPORT,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	6,306 ", 	775 , 	819 , 	880 
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY," 	6,323 "," 	5,988 "," 	3,553 "," 	3,448 "
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,342 ", 	479 , 	-   , 	1 
51 -  PARKS,51110 - PARK COM REC ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,343 "," 	7,864 "," 	12,812 "," 	14,119 "
30 -  FIRE,30110709 - FIRE GEN FIELD OP STATION 9,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	6,353 "," 	6,171 "," 	5,228 "," 	5,053 "
45 -  TRAFFIC ENGINEERING,45501 - TE SIGNALS ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,359 "," 	4,575 "," 	3,144 "," 	1,011 "
51 -  PARKS,51110 - PARK COM REC ADMIN,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	6,368 "," 	7,040 "," 	10,220 "," 	7,462 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,388 ", 	10 , 	-   , 	-   
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE," 	6,392 "," 	5,809 "," 	6,651 "," 	7,586 "
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	6,408 "," 	2,739 "," 	3,220 "," 	9,238 "
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	6,413 "," 	7,382 "," 	6,376 "," 	5,028 "
51 -  PARKS,51240 - PARK MTC PARKS MAINTENANCE,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,414 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40253 - ENG MAPPING PLAT REVIEW,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,419 "," 	6,698 "," 	7,428 "," 	9,740 "
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT," 	6,431 "," 	6,392 "," 	3,118 "," 	8,986 "
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	6,449 "," 	10,408 "," 	11,745 "," 	12,175 "
40 -  ENGINEERING,40122 - ENG STREETS DESIGN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,453 "," 	5,068 "," 	3,420 "," 	8,904 "
31 -  POLICE,31100 - POLICE FIELD,Expense,54 - PURCHASED SERVICES,54545 - MEDICAL SERVICES," 	6,458 "," 	8,131 "," 	3,672 "," 	5,413 "
44 -  STREETS,44331 - ST SNOW REMOVAL HAULING,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,461 ", 	67 , 	-   , 	8 
50 -  LIBRARY,50100758 - LIB PUBLIC SERVICE SEQUOYA,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	6,482 "," 	5,191 "," 	5,430 "," 	5,663 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	6,494 "," 	7,421 "," 	5,985 "," 	4,553 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,496 "," 	8,884 "," 	9,907 "," 	11,697 "
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	6,500 "," 	5,326 "," 	8,029 "," 	12,553 "
30 -  FIRE,30110712 - FIRE GEN FIELD OP STATION 12,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	6,503 "," 	4,826 "," 	1,879 "," 	9,127 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES," 	6,504 ", 	-   , 	-   , 	-   
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	6,509 "," 	1,448 ", 	740 , 	284 
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	6,516 "," 	5,987 "," 	6,526 "," 	7,941 "
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,54 - PURCHASED SERVICES,54545 - MEDICAL SERVICES," 	6,524 "," 	34,856 "," 	16,351 "," 	42,858 "
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES," 	6,524 ", 	-   , 	-   ," 	12,008 "
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES," 	6,527 "," 	22,525 "," 	8,406 "," 	21,174 "
44 -  STREETS,44441 - ST HAND SWEEPING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,531 "," 	6,759 "," 	7,095 "," 	11,950 "
62 -  COMMUNITY DEVELOPMENT,62446 - CHILDREN AND FAMILIES,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	6,532 "," 	4,573 "," 	23,389 "," 	17,545 "
62 -  COMMUNITY DEVELOPMENT,62334 - NBRHD SPPT SVCS PLANNING CNCLS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,533 "," 	6,719 "," 	2,947 "," 	2,938 "
21 -  TREASURER,21100 - TREASURER,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	6,535 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,549 "," 	16,577 "," 	20,944 "," 	21,443 "
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	6,561 ", 	536 , 	-   ," 	1,072 "
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	6,561 "," 	12,281 "," 	14,170 "," 	16,918 "
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,604 "," 	7,080 "," 	8,199 "," 	7,200 "
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES," 	6,606 "," 	6,606 "," 	6,507 "," 	5,841 "
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES," 	6,613 "," 	4,212 "," 	3,650 "," 	2,508 "
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,54 - PURCHASED SERVICES,54215 - WASTE DISPOSAL," 	6,621 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT," 	6,638 "," 	7,459 "," 	5,470 ", 	-   
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	6,652 "," 	1,418 ", 	130 , 	8 
30 -  FIRE,30270 - FIRE INVESTIGATION,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	6,674 "," 	6,611 "," 	5,722 "," 	4,813 "
40 -  ENGINEERING,40123 - ENG STREETS INSPECT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	6,677 ", 	-   , 	-   , 	-   
31 -  POLICE,31100 - POLICE FIELD,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	6,679 "," 	6,531 "," 	4,499 "," 	5,950 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE," 	6,700 "," 	5,460 "," 	7,023 "," 	1,570 "
65 -  PLANNING,65223 - PL TRANSPORTATION PLAN NON MPO,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,732 "," 	9,673 "," 	11,076 "," 	17,633 "
40 -  ENGINEERING,40123 - ENG STREETS INSPECT,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,750 "," 	3,242 "," 	2,822 "," 	5,339 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	6,770 ", 	10 , 	-   , 	-   
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,775 "," 	5,301 "," 	6,394 "," 	6,014 "
31 -  POLICE,31100 - POLICE FIELD,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT," 	6,778 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40114 - ENG ADMIN CONTRACT MANAGEMENT,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,782 "," 	6,891 "," 	7,008 "," 	6,849 "
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE," 	6,790 "," 	7,134 "," 	6,704 "," 	6,803 "
31 -  POLICE,31149 - TASK FORCE,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	6,824 ", 	31 , 	-   , 	-   
31 -  POLICE,31125 - EAST,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	6,830 "," 	5,107 "," 	5,045 "," 	5,456 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,53 - SUPPLIES,53215 - JANITORIAL SUPPLIES," 	6,832 "," 	8,532 "," 	7,504 "," 	10,249 "
50 -  LIBRARY,50224751 - LIB COMM ENGAGE ALL AGES CEN,Expense,53 - SUPPLIES,53410 - MACHINERY AND EQUIPMENT," 	6,855 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40362 - ENG FAC MGMT DESIGN CONSTRUCT,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	6,856 "," 	9,177 "," 	9,915 "," 	6,113 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	6,865 "," 	4,622 "," 	6,776 "," 	6,168 "
40 -  ENGINEERING,40360 - ENG FAC MGMT ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	6,882 "," 	7,585 "," 	8,881 "," 	9,732 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	6,897 ", 	-   , 	-   , 	-   
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	6,899 "," 	7,134 "," 	5,990 "," 	7,919 "
50 -  LIBRARY,50222751 - LIB COMM ENGAGE TEEN CENTRAL,Expense,54 - PURCHASED SERVICES,54695 - PROGRAM SERVICES," 	6,900 "," 	17,325 "," 	38,548 "," 	28,736 "
45 -  TRAFFIC ENGINEERING,45660 - TE SERVICES TRAFFIC STUDIES,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	6,902 "," 	10,219 "," 	12,814 "," 	15,516 "
44 -  STREETS,44550 - ST BLACKTOP,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	6,907 "," 	2,090 "," 	1,198 "," 	1,242 "
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	6,909 "," 	3,288 "," 	12,587 "," 	4,811 "
15 -  FINANCE,15110 - FIN ACCOUNTING PAYROLL,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	6,912 "," 	8,230 "," 	7,674 "," 	5,851 "
31 -  POLICE,31135 - SOUTH,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES," 	6,919 ", 	-   , 	-   , 	-   
30 -  FIRE,30110711 - FIRE GEN FIELD OP STATION 11,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	6,936 "," 	8,232 "," 	8,531 "," 	8,356 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW," 	6,938 ", 	-   ," 	133,172 "," 	35,710 "
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	6,958 "," 	7,715 "," 	6,932 "," 	7,766 "
15 -  FINANCE,15200 - FIN BUDGET AND PROGRAM MGMT,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	6,969 "," 	8,031 "," 	8,522 "," 	7,380 "
30 -  FIRE,30260 - FIRE COMMUNITY EDUCATION,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	6,994 "," 	9,054 "," 	5,215 "," 	3,960 "
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES," 	7,006 "," 	86,088 ", 	-   , 	-   
31 -  POLICE,31200 - POLICE SUPPORT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	7,009 "," 	69,833 "," 	62,440 "," 	73,568 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,53 - SUPPLIES,53325 - HVAC SUPPLIES," 	7,011 "," 	6,636 "," 	4,994 "," 	7,738 "
30 -  FIRE,30110710 - FIRE GEN FIELD OP STATION 10,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	7,012 "," 	8,112 "," 	8,210 "," 	7,885 "
31 -  POLICE,31140 - WEST,Expense,52 - BENEFITS,52711 - TUITION," 	7,014 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40129 - ENG STREETS EXCAVATION PERMIT,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	7,014 "," 	6,961 "," 	7,785 "," 	10,638 "
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,53 - SUPPLIES,53450 - INVENTORY," 	7,020 "," 	6,951 "," 	7,947 "," 	11,893 "
31 -  POLICE,31290 - FINANCE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	7,031 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40133 - ENG SIDEWALKS INSPECT,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	7,044 "," 	11,579 "," 	7,175 "," 	6,965 "
45 -  TRAFFIC ENGINEERING,45204 - TE STLIGHT INSTALL OR REMOVE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	7,049 "," 	4,368 "," 	4,633 "," 	4,916 "
15 -  FINANCE,15111 - FIN ACCOUNTING PURCHASING,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	7,072 "," 	7,072 ", 	-   , 	-   
