Incident,Date,Incident Type,Address,Updated
"Vehicle Fire Extinguished On West Side","05/27/2015","Vehicle","Tokay Blvd. at Segoe Rd, Madison, WI",""
"Landscaping Light Damages Siding - Near East Side","05/26/2015","Structure","900 Block Spaight Street, Madison, WI",""
"Automatic Sprinkler System Extinguishes Fire","05/26/2015","Structure","200 Block of East Hill Parkway, Madison, WI",""
"Near-Westside Dumpster Fire/Discarded Charcoal","05/26/2015","Cooking","4800 Block Sheboygan Av, Madison, WI",""
"Unauthorized Burning - Eastside","05/25/2015","Outdoor","2800 Block Moland St, Madison, WI",""
"Dumpster Fire/Discarded Coals - Eastside","05/25/2015","Cooking","4600 Block W Hayes Rd, Madison, WI",""
"Reported Westside Explosion - No Fire","05/25/2015","Outdoor","5900 Block Hempstead Rd, Madison, WI",""
"Northside Vehicle Fire","05/24/2015","Vehicle","500 Block Waxwing Ln, Madison, WI",""
"Outdoor Burning - Southside","05/24/2015","Outdoor","600 Block Emerson St, Madison, WI",""
"Southside Grass Fire","05/23/2015","Outdoor","2400 Block S Park St, Madison, WI",""
"Outside Fire - Westside","05/23/2015","Structure","9300 Block Briar Haven Dr, Madison, WI",""
"Cooking Fire - Eagle Heights","05/23/2015","Cooking","600 Block Eagle Heights Dr, Madison, WI",""
"Trash Fire at Tenney Park","05/22/2015","Outdoor","1500 Block N Sherman Av, Madison, WI",""
"Westside Grass Fire","05/22/2015","Outdoor","Madison, WI",""
"Cooking Fire With Injury","05/22/2015","Cooking","600 Block N Oak St, Madison, WI",""
"3-Car Crash at Packers Ave","05/22/2015","Vehicle","Packers Ave. and N. 6th St, Madison, WI",""
"Engine Nest Causes Eastside Vehicle Fire","05/21/2015","Vehicle","4200 Block Bainbridge St, Madison, WI",""
"Commercial Compactor Fire","05/20/2015","Structure","1800 Block Monroe St, Madison, WI",""
"Oven Cooking Fire - Eastside","05/19/2015","Cooking","3800 Block Duncan Dr, Madison, WI",""
"Downtown Hotel Fire","05/18/2015","Structure","1000 Block Wisconsin Pl, Madison, WI",""
"Malfunctioning Furnace Causes Excessive Heat, Scorch Burns","05/18/2015","Structure","1000 Block Lumbermans Trl, Madison, WI",""
"Downtown Cooking Fire","05/16/2015","Cooking","200 Block W Lakelawn Pl, Madison, WI",""
"Westside Mulch Fire","05/16/2015","Outdoor","S High Point Rd/Watts Rd, Madison, WI",""
"Unauthorized Burning - Eastside","05/16/2015","Outdoor","3100 Block Gerald St, Madison, WI",""
"Campus Area Couch Fire","05/15/2015","Outdoor","900 Block Oakland Ave, Madison, WI",""
"Dumpster Fire in Parking Garage","05/14/2015","Structure","700 Block N Thompson Dr, Madison, WI",""
"One Dead in Single Car Crash","05/14/2015","Vehicle","Femrite Dr at I90-94, Madison, WI",""
"Grass Fire - Northeast Side","05/14/2015","Cooking","1100 Block Sherman Ave, Madison, WI",""
"Outdoor Fire - Eastside","05/13/2015","Outdoor","3900 Block Claire St, Madison, WI",""
"Firefighters Respond to Fire at Bagels Forever; Cause Released.","05/13/2015","Structure","2900 Block University Ave, Madison, WI",""
"Vehicle Fire at Madison College","05/13/2015","Vehicle","1700 Block Wright St, Madison, WI",""
"Westside Dryer Fire","05/09/2015","Appliance","Madison, WI",""
"Smoky Fire Clears Eastside Restaurant; No Injuries","05/09/2015","Structure","3500 Block E. Washington Ave, Madison, WI",""
"E Washington Median Fire","05/09/2015","Outdoor","Madison, WI",""
"Eastside Vehicle Fire","05/09/2015","Vehicle","2500 Block E Johnson St, Madison, WI",""
"Madison firefighters dispatched to car fire","05/09/2015","Vehicle","2500 Block E Johnson Street, Madison, WI",""
"Cooking Fire - Near West","05/08/2015","Cooking","S Midvale Blvd, Madison, WI",""
"CO Alarm Alerts Residents of Langdon Street House","05/08/2015","Cooking","200 Block Langdon St, Madison, WI",""
"Northside Vehicle Fire","05/08/2015","Vehicle","2500 Block Monterey Dr, Madison, WI",""
"Westside Training Burn","05/08/2015","Structure","3300 Block S Pleasant View Rd, Madison, WI",""
"Eastside Cooking Fire","05/04/2015","Cooking","200 Block N Thompson Dr, Madison, WI",""
"Westside Cooking Fire","05/03/2015","Cooking","2200 Block Carling Dr, Madison, WI",""
"Outdoor Fire - Wooded Area; 3rd Response","05/03/2015","Outdoor","3600 Block Ice Age Dr, Madison, WI",""
"Outside Fire - Wooded Area","05/02/2015","Outdoor","3600 Block Ice Age Trl, Madison, WI",""
"Dumpster Fire Near Campus","05/02/2015","Smoking","400 Block blk N Frances St, Madison, WI",""
"Downtown Limousine Fire","05/02/2015","Vehicle","Wisconsin Ave/E Johnson St, Madison, WI",""
"Westside Fire in Wooded Area","05/02/2015","Outdoor","3600 Block Ice Age Dr/Snowflake Ct, Madison, WI",""
"Dumpster Fire - Uw Campus Area","05/02/2015","Outdoor","Madison, WI",""
"Northside Cooking Fire","05/02/2015","Cooking","3700 Block blk W Karstens Dr, Madison, WI",""
"Westside Park Shelter Fire","05/02/2015","Outdoor","2600 Block blk Waltham Rd, Madison, WI",""
"Grill Fire with Injuries - Eastside","05/01/2015","Cooking","1600 Block blk Rowland Ave, Madison, WI",""
"Children Suspected of Starting Fire","05/01/2015","Outdoor","200 Block blk East Bluff, Madison, WI",""
"Construction Zone Fire","05/01/2015","Outdoor","US Highway 12 at Seminole Highway, Madison, WI",""
"Restaurant Kitchen Fire","04/30/2015","Cooking","100 Block E Main St, Madison, WI",""
"Vehicle Fire: US Highway 151","04/30/2015","Vehicle","US Hwy 151-SB, Madison, WI",""
"Stained Rags; Odor Investigation","04/29/2015","Structure","3500 Block Manchester Rd, Madison, WI",""
"Northside Building Fire","04/28/2015","Structure","1500 Block Troy Dr, Madison, WI",""
"Unauthorized Burning on the Eastside","04/28/2015","Outdoor","700 Block Gannon Av, Madison, WI",""
"Northside Cooking Fire","04/28/2015","Cooking","3800 Block School Rd, Madison, WI",""
"Eastside Mulch Fire","04/28/2015","Outdoor","300 Block S Ingersoll St, Madison, WI",""
"Outdoor Fire at Westside Library","04/28/2015","Outdoor","4300 Block Tokay Blvd, Madison, WI",""
"Willy Street Fire","04/28/2015","Outdoor","800 Block of Williamson St, Madison, WI",""
"Outdoor Fire Downtown","04/28/2015","Outdoor","500 Block W Wilson St, Madison, WI",""
"Eastside Cooking Fire","04/27/2015","Cooking","5400 Block Dover Place, Madison, WI",""
"Wildlife Sanctuary Fire","04/27/2015","Outdoor","700 Block Meadowlark Dr, Madison, WI",""
"Dumpster Fire","04/27/2015","Outdoor","2600 Block McDivitt Rd, Madison, WI",""
"Outdoor Fire - Westside","04/26/2015","Outdoor","9400 Block Eagle Nest Ln, Madison, WI",""
"Outdoor Fire - Eastside","04/25/2015","Outdoor","100 Block Walter St, Madison, WI",""
"Allied Dr Cooking Fire","04/24/2015","Cooking","2400 Block of Allied Dr, Madison, WI",""
"Eastside Vehicle Fire","04/24/2015","Vehicle","2800 Block blk Victoria Ln, Madison, WI",""
"Eastside Vehicle Fire","04/23/2015","Vehicle","S Stoughton Rd/US Hwy 12, Madison, WI",""
"Fire Causes $136,000 in Damage on East Side of Madison","04/22/2015","Structure","100 Block Silver Rd, Madison, WI",""
"Northside Dryer Fire","04/22/2015","Appliance","1400 Block blk Northport Dr, Madison, WI",""
"Apartment Fire Displaces Three People","03/28/2015","Structure","800 Block Vernon Avenue, Madison, WI",""
"Firefighters Locate, Extinguish Eastside House Fire","03/21/2015","Structure","3100 Block of Buena Vista St, Madison, WI",""
"Firefighters Extinguish Truck Fire, Prevent Spread to Building","03/17/2015","Structure","3700 Block Commercial Ave, Madison, WI",""
"",""
